"id","category","subcategory","english","chinese","notes","translated_english"
"33","neutral","locations","The park is quiet in the morning.","早上的公园很安静。","location","In the morning, the park is very quiet."
"34","neutral","locations","The office is across from the bank.","办公室在银行对面。","location","The office is opposite the bank."
"35","neutral","locations","The bus stop is near my apartment.","公交站离我公寓很近。","location","The bus stop is very near my apartment."
"36","neutral","food","I ate soup for dinner.","我晚饭喝了汤。","food","I had soup with dinner."
"37","neutral","food","She bought fresh fruit after work.","她下班后买了新鲜水果。","food","After work, she bought some fresh fruit."
"38","neutral","food","He made coffee before studying.","他学习前泡了咖啡。","food","Before studying, he brewed some coffee."
"39","neutral","food","We shared a small cake.","我们分着吃了一个小蛋糕。","food","We split a small cake between us."
"40","neutral","food","The noodles were too hot to eat.","面条太烫了没法马上吃。","food","The noodles were too hot to eat immediately."
"41","neutral","time","I woke up at seven today.","我今天七点醒了。","time","Today, I woke up at seven."
"42","neutral","time","The train arrived ten minutes late.","火车晚到了十分钟。","time","The train was ten minutes late arriving."
"43","neutral","time","She waited for half an hour.","她等了半个小时。","time","She waited for thirty minutes."
"44","neutral","time","The movie starts at eight.","电影八点开始。","time","The film begins at eight."
"45","neutral","time","We finished before sunset.","我们在日落前完成了。","time","We got it done before sunset."
"46","neutral","communication","I called my friend after dinner.","我晚饭后给朋友打了电话。","communication","After dinner, I phoned a friend."
"47","neutral","communication","She replied to the message quickly.","她很快回复了消息。","communication","She answered the message very quickly."
"48","neutral","communication","He asked a question in class.","他在课上问了一个问题。","communication","He raised a question during class."
"49","neutral","communication","We talked about the weekend plan.","我们聊了周末的计划。","communication","We chatted about our weekend plans."
"50","neutral","communication","I wrote a short email to my teacher.","我给老师写了一封简短的邮件。","communication","I wrote the teacher a brief email."
"51","cultural","festival","Families often reunite during the Spring Festival.","春节时家人常常团聚。","Chinese festival and family value","At Spring Festival, family members often get together."
"52","cultural","festival","People watch lanterns during the Lantern Festival.","元宵节时人们会看花灯。","Chinese festival tradition","During the Lantern Festival, people go to see lantern displays."
"53","cultural","festival","Mooncakes are shared during the Mid-Autumn Festival.","中秋节时大家会分享月饼。","Chinese festival food","At Mid-Autumn Festival, people share mooncakes."
"54","cultural","festival","People eat zongzi during the Dragon Boat Festival.","端午节时人们会吃粽子。","Chinese festival food","During Dragon Boat Festival, people usually eat zongzi."
"55","cultural","festival","A reunion dinner is important on New Year's Eve.","除夕夜的团圆饭很重要。","Chinese family tradition","The reunion meal on New Year's Eve matters a lot."
"56","cultural","family_values","Respecting elders is seen as important in many families.","很多家庭都很重视尊敬长辈。","family value","Many families place great importance on respecting older relatives."
"57","cultural","family_values","Parents often worry about their children's future.","父母常常会操心孩子的未来。","family value","Parents often concern themselves with their children's future."
"58","cultural","family_values","The whole family discussed the decision together.","全家人一起商量了这个决定。","family-centered decision","The whole family talked over this decision together."
"59","cultural","family_values","He brought gifts when visiting his relatives.","他去看亲戚时带了礼物。","family visit custom","When he visited relatives, he brought gifts."
"60","cultural","family_values","She called home before the holiday.","放假前她给家里打了电话。","family connection","Before the break, she called her family at home."
"61","cultural","colors","Red is often used for happy occasions in China.","在中国红色常用于喜庆场合。","color symbolism","In China, red is often used for joyful occasions."
"62","cultural","colors","Gold often suggests wealth and good wishes.","金色常让人想到财富和祝福。","color symbolism","Gold often brings wealth and blessings to mind."
"63","cultural","colors","White flowers can feel solemn in some Chinese settings.","在一些中文语境里白花会显得比较庄重。","color association","In some Chinese-language contexts, white flowers can seem rather solemn."
"64","cultural","colors","Bright red decorations made the room feel festive.","鲜红的装饰让房间很有节日气氛。","color and celebration","The bright red decorations gave the room a holiday mood."
"65","cultural","colors","The red envelope carried a wish for good luck.","红包里包含着好运的祝福。","color and gift custom","A red envelope contains wishes for good fortune."
"66","cultural","social_norms","Saving face can matter in a difficult conversation.","在难聊的事情里给对方面子可能很重要。","social norm","When a topic is hard to discuss, giving the other person face may matter."
"67","cultural","social_norms","People may speak indirectly to avoid embarrassment.","人们有时会说得委婉些以免尴尬。","communication norm","Sometimes people speak more indirectly to avoid awkwardness."
"68","cultural","social_norms","Guests are often offered tea when they arrive.","客人到了以后常会被招呼喝茶。","hospitality custom","After guests arrive, they are often invited to have tea."
"69","cultural","social_norms","It is polite to thank the host after a meal.","饭后感谢主人是有礼貌的。","social etiquette","Thanking the host after a meal shows good manners."
"70","cultural","social_norms","Some families ask guests to remove shoes at the door.","有些家庭会请客人在门口换鞋。","home etiquette","Some households ask guests to change shoes at the entrance."
"71","cultural","traditions","Red envelopes are given during the Spring Festival.","春节时人们会发红包。","traditional gift","During Spring Festival, people give out red envelopes."
"72","cultural","traditions","People paste spring couplets on the door.","人们会把春联贴在门上。","holiday decoration","People put Spring Festival couplets on their doors."
"73","cultural","traditions","Firecrackers are linked with New Year celebrations.","鞭炮常和过年庆祝联系在一起。","festival tradition","Firecrackers are often associated with celebrating the New Year."
"74","cultural","traditions","Tea can be served to show respect.","敬茶可以表达尊重。","tea tradition","Offering tea can be a way to show respect."
"75","cultural","traditions","Calligraphy is often displayed during festivals.","节日期间常能看到书法作品。","traditional art","During festivals, calligraphy pieces can often be seen."
"76","cultural","symbols","The dragon often symbolizes strength in Chinese culture.","龙在中国文化里常象征力量。","cultural symbol","In Chinese culture, the dragon often stands for strength."
"77","cultural","symbols","The panda is often seen as gentle and friendly.","熊猫常被看作温和友好的象征。","cultural symbol","Pandas are often viewed as symbols of gentleness and friendliness."
"78","cultural","symbols","Bamboo can suggest resilience and modesty.","竹子可以让人想到坚韧和谦逊。","cultural symbol","Bamboo can call to mind toughness and humility."
"79","cultural","symbols","The moon often suggests reunion in Chinese poems.","月亮在中文诗歌里常让人想到团圆。","literary symbol","In Chinese poetry, the moon often evokes reunion."
"80","cultural","symbols","The plum blossom can suggest strength in winter.","梅花可以象征寒冬中的坚强。","cultural symbol","Plum blossoms can represent strength in the cold of winter."
"81","cultural","idioms","He finally understood the problem.","他终于恍然大悟了。","Chinese idiomatic expression","He finally realized it all at once."
"82","cultural","idioms","This plan solves two problems at once.","这个办法一举两得。","Chinese idiomatic expression","This approach gets two benefits with one move."
"83","cultural","idioms","A bad thing may lead to a good result.","塞翁失马焉知非福。","Chinese idiomatic expression","A loss may turn out not to be bad after all."
"84","cultural","idioms","Do not give up when things get hard.","遇到困难也不要轻易放弃。","encouragement concept","Even when facing difficulty, do not give up too easily."
"85","cultural","idioms","He worked hard after a late start.","他起步晚但后来很努力。","idiom-related idea","He started later than others, but worked hard afterward."
"86","cultural","gift_customs","Giving a clock can feel inappropriate in Chinese culture.","在中国文化里送钟可能不太合适。","gift taboo","In Chinese culture, giving a clock may feel unsuitable."
"87","cultural","gift_customs","Fruit baskets are common gifts for visits.","探望别人时水果篮是常见礼物。","visiting gift","When visiting someone, a fruit basket is a common gift."
"88","cultural","gift_customs","A gift is often accepted with modest words.","收礼时人们常会客气几句。","gift etiquette","When accepting a gift, people often say a few polite modest words."
"89","cultural","gift_customs","The wrapping can matter as much as the gift.","礼物的包装有时也很重要。","gift presentation","Sometimes the way a gift is wrapped also matters."
"90","cultural","gift_customs","Small gifts can show care during a visit.","拜访时带点小礼物能表达心意。","gift custom","Bringing a small gift on a visit can show thoughtfulness."
"91","cultural","numbers","The number eight is often linked with good luck.","数字八常和好运联系在一起。","number symbolism","The number eight is often tied to good luck."
"92","cultural","numbers","Some people choose lucky numbers for phone numbers.","有些人会给手机号选吉利数字。","number symbolism","Some people choose auspicious numbers for their phone number."
"93","cultural","numbers","Double numbers can feel neat and lucky.","叠在一起的数字常显得顺眼又吉利。","number symbolism","Repeated numbers often look pleasing and feel lucky."
"94","cultural","numbers","A lucky date can make an event feel special.","选个好日子会让事情显得更有意义。","date custom","Picking an auspicious day can make an event feel more meaningful."
"95","cultural","numbers","Numbers can carry extra meaning beyond counting.","数字有时不只是用来计数。","cultural meaning","Sometimes numbers are used for more than just counting."
"96","cultural","food_culture","Sharing dishes is common at many Chinese meals.","很多中餐场合会大家一起夹菜分享。","food culture","At many Chinese meals, everyone shares dishes together."
"97","cultural","food_culture","Noodles can symbolize long life on birthdays.","生日吃面有时象征长寿。","food symbolism","Eating noodles on a birthday can symbolize long life."
"98","cultural","food_culture","Dumplings are often eaten during New Year celebrations.","过年时人们常吃饺子。","festival food","People often eat dumplings when celebrating the New Year."
"99","cultural","food_culture","Tea can be part of both daily life and ceremony.","茶既可以是日常饮品也可以有仪式感。","tea culture","Tea can be an everyday drink and also carry a sense of ritual."
"100","cultural","food_culture","A full table can show warmth and hospitality.","一桌丰盛的饭菜能表达热情好客。","hospitality and food","A table full of food can show warmth and hospitality."
